id,IdLvl,Npc,text
110001,1,0,No todo lo que brilla es oro
110002,1,0,La avaricia rompe el saco
110003,1,0,La bebida apaga la sed la comida satisface el hambre pero el oro no sacia nunca la avaricia Plutarco
110102,1,1,Dame una moneda y seras mas rico que antes
110103,1,1,Quieres mas oro? Solo te costara una moneda
110104,1,1,Tan solo una moneda pueden convertirse en miles
110105,1,1,Si algo quieres ganar algo tendras que arriesgar
110106,1,1,Quieres llevarte comision? 
110107,1,1,Si quieres tener mas oro debes confiar en mi
110201,1,2,Si me das todo lo que tienes te hare mucho mas rico que antes
110202,1,2,La verdadera riqueza esta en tu interior
